Type_Test,Code_Langue,Code_Niveau_Email,Code_Profil,Element,Ordre,Contenu / ID_Document
Couleurs,FR,"N1,N2,N3",B,Document ,110,1DjJQVGO52osSFNRrTpaL2A1YE9AxkoJR,https://drive.google.com/file/d/1DjJQVGO52osSFNRrTpaL2A1YE9AxkoJR
Couleurs,FR,"N1,N2,N3",J,Document ,110,1ut7h0mM4Xvn5--KGPrfJUpeasePR2tqg,https://drive.google.com/file/d/1ut7h0mM4Xvn5--KGPrfJUpeasePR2tqg
Couleurs,FR,"N1,N2,N3",R,Document ,110,118p2U3ngv68ag4lNO4WNAGCesOpq0pxC,https://drive.google.com/file/d/118p2U3ngv68ag4lNO4WNAGCesOpq0pxC
Couleurs,FR,"N1,N2,N3",V,Document ,110,17EEbi-1DGRaOGGeGyNbca2YBMJsqt304,https://drive.google.com/file/d/17EEbi-1DGRaOGGeGyNbca2YBMJsqt304
ANCRES,EN,"N1,N2,N3",EQUILIBRE,Document,111,1WahaxLw824LwCAFvNy35Th03GqJUScgU
MBTI,EN,"N1,N2,N3",ISTJ,Corps_Texte,10,"Serious, reliable, rule-respecting, and tradition-oriented"
MBTI,EN,"N1,N2,N3",ISTJ,Corps_Texte,20
MBTI,EN,"N1,N2,N3",ISTP,Corps_Texte,10,"Pragmatic, calm, solves problems logically"
MBTI,EN,"N1,N2,N3",ISTP,Corps_Texte,20
MBTI,EN,"N1,N2,N3",,Introduction,1,"Hello {{Votre_nom_et_prenom}},"
MBTI,EN,"N1,N2,N3",,Introduction,2,We are pleased to provide you with the complete analysis of your results. This report is intended to support you in your development journey.
MBTI,EN,N4,,Corps_Texte,19,Here is the detail of your preferences:
MBTI,EN,"N1,N2,N3",,Corps_Texte,5,"MBTI Profile Synthesis:  {{Detail_1}}, {{Titre_Profil}}"
MBTI,EN,"N1,N2,N3",,Corps_Texte,31,Description :  {{Description_Profil}}
MBTI,EN,"N1,N2,N3",,Corps_Texte,18,Here is the breakdown of your scores for each dimension assessed:
ANCRES,FR,"N1,N2,N3",EXPERTISE,Document,110,1DjMSUbAJFdrQJSJSeS_4u9yDW0uriKP9
ANCRES,FR,"N1,N2,N3",EXPERTISE,Document,111,1fiKSb9AdcrZWWnDzSz8MVDg0RUI_sdCE
ANCRES,FR,"N1,N2,N3",MANAGEMENT,Document,110,17sz9pFnD8h4JdXa8wz-V39iOdWkD-WbK
ANCRES,FR,"N1,N2,N3",MANAGEMENT,Document,111,1PP7YJEefg6kdlrrPaV_FtrQvDUGjNCKL
ANCRES,FR,"N1,N2,N3",AUTONOMIE,Document,110,1SkQv17VykdK2YpVG-0iJPGHoYOx3lwe_
ANCRES,FR,"N1,N2,N3",AUTONOMIE,Document,111,1KbIoLV4GaVo0Xlo7lxs7KJvWd5LujrIy
ANCRES,FR,"N1,N2,N3",SECURITE,Document,110,1WcJ50jfmZbHfdZFDeKd-1XAG7VTQfVvC
ANCRES,FR,"N1,N2,N3",SECURITE,Document,111,1O0VQc-RqdHXppfs1RZOSJirNrWnRCZnw
